1,1,1,20180101
1,3,3,20180101
1,6,5,20180101
1,9,5,20180101
1,11,4,20180101
2,3,5,20180101
2,4,4,20180101
2,7,4,20180101
2,10,2,20180101
2,11,1,20180101
2,12,3,20180101
3,1,2,20180101
3,2,4,20180101
3,4,1,20180101
3,5,2,20180101
3,7,3,20180101
3,9,4,20180101
3,10,3,20180101
3,11,5,20180101
4,2,2,20180101
4,3,4,20180101
4,5,5,20180101
4,8,4,20180101
4,11,2,20180101
5,3,4,20180101
5,4,3,20180101
5,6,2,20180101
5,11,2,20180101
5,12,5,20180101
6,1,1,20180101
6,3,3,20180101
6,5,3,20180101
6,8,2,20180101
6,11,4,20180101
